phase,T,VM,at comp C,at comp Co,at comp Cr,at comp Mn,at comp N,at comp Ni,at comp Si,dG,precip check,sigma,tau,vf,InterfaceE_chem
BCC_A2,813.15,7.260905328640358e-06,7.573911339864978e-06,0.0941668630149483,0.0054902323876671,0.0003478409186854,2.7486544979464762e-08,0.0432789045457513,2.489902541370756e-05,,False,,,0.7544514150862435,
CEMENTITE_D011,813.15,6.036484208591877e-06,0.2499999954950947,0.0005715381798853,0.4049831887261232,0.0053693536676307,4.504905247907568e-09,0.0045429797585964,7.5e-13,-17740.0,True,0.20286,398.49,0.0,0.14947
FCC_A1#2,813.15,5.283755668078033e-06,0.3139006065169555,4.884453955143607e-08,0.501334935035765,6.523280928463653e-05,0.1846984024435054,7.743489468303401e-07,5.014009910395389e-13,-51519.0,True,0.34417,132.65,0.0002152133144453,0.41856
FE4N_LP1,813.15,7.108989778032888e-06,0.198882621420557,0.0003526711639173,0.0019372958227399,1.7550168487678544e-05,0.0011173785794429,0.00226243703524,0.0,-428.31,True,0.081078,40877.0,0.0,0.08223
HCP_A3#2,813.15,6.006343557529465e-06,0.3299373409839227,0.0007029558745529,0.6651781888124694,4.284405739509193e-07,0.003332376531718,0.0002576767354113,6.667302824843593e-13,-27528.0,True,1.5579,2097.2,0.0,0.03735
KSI_CARBIDE,813.15,7.108989778032889e-06,0.25,0.0,0.1758689164554169,0.0,0.0,0.0,0.0,-5008.8,True,0.17319,1086.7,0.0,0.17274
M23C6_D84,813.15,6.218218217117303e-06,0.2068965517241379,0.0006912819300754,0.3912321377730586,0.0105742751679395,0.0,0.0370258779508831,0.0,-14255.0,True,0.25509,612.23,0.0,0.20664
M3C2_D510,813.15,7.108989778032888e-06,0.4,3.541678250979573e-05,0.5999645832174902,0.0,0.0,0.0,0.0,-37274.0,True,0.47363,348.85,0.0091851687944905,0.47505
M5C2,813.15,5.819760731909866e-06,0.2857142857142857,0.0,0.0,0.0163180767918676,0.0,0.0,0.0,-10889.0,True,0.17887,199.52,0.0,0.18796
M7C3_D101,813.15,5.870151977320314e-06,0.3,0.0012227171205533,0.5750351106258578,0.0033046803814462,0.0,0.0017034119624176,7e-13,-25296.0,True,0.39847,563.26,0.0165829360765057,0.31591
