phase,T,VM,at comp C,at comp Co,at comp Cr,at comp Mn,at comp N,at comp Ni,at comp Si,dG,precip check,sigma,tau,vf,InterfaceE_chem
BCC_A2,978.15,7.312055789655802e-06,0.0001703960046404,0.1132637684039835,0.0106295875587246,0.0003355200152112,1.3145339545977075e-06,0.0322567824878647,0.0001536783181039,,False,,,0.1884958502779169,
CEMENTITE_D011,978.15,6.0701422595415e-06,0.2499997909343742,0.00392497456566,0.2902005980575367,0.0023116614408471,2.0906562579780325e-07,0.0045839991779585,7.5e-13,-10987.0,True,0.17287,0.17481,0.0,0.14947
FCC_A1#2,978.15,5.3133562306823575e-06,0.2933402192924066,9.475227312504e-07,0.5017175291178029,4.943841555245991e-05,0.2048908609945414,1.004652646188409e-06,5.01768919713052e-13,-31974.0,True,0.42156,0.2164,7.436779854758511e-05,0.41856
FE4N_LP1,978.15,7.144266515328298e-06,0.1960763237648708,0.0003520572576413,0.0011162831297017,4.837323476444123e-06,0.0039236762351291,0.0005905117419962,0.0,,True,,,0.0,0.08223
HCP_A3#2,978.15,6.06057040164306e-06,0.3222544139870753,0.0034988934333335,0.658584522102334,1.5553128667786175e-06,0.010873450746314,0.0004688584590275,1.0097526231240104e-11,-15539.0,True,0.48988,1.045,0.0,0.03735
KSI_CARBIDE,978.15,7.144266515328299e-06,0.25,0.0,0.1831676956882957,0.0,0.0,0.0,0.0,,True,,,0.0,0.17274
M23C6_D84,978.15,6.210483818590847e-06,0.2068965517241379,0.003865803953288,0.3063889587088784,0.003320257349741,0.0,0.0242133615917765,0.0,-8779.6,True,0.22538,0.32261,0.0,0.20664
M3C2_D510,978.15,7.144266515328298e-06,0.4,0.0002850161222093,0.5997149838777907,0.0,0.0,0.0,0.0,-22893.0,True,0.47735,0.47789,0.0,0.47505
M5C2,978.15,5.827952440002025e-06,0.2857142857142857,0.0,0.0,0.0051734898674767,0.0,0.0,0.0,-6496.9,True,0.18682,0.10186,0.0,0.18796
M7C3_D101,978.15,5.86610790924925e-06,0.3,0.0048644914855751,0.4511945854329845,0.0017847068083247,0.0,0.0022180786902704,7e-13,-15943.0,True,0.34382,0.36053,0.0110753952087867,0.31591
