phase,T,VM,at comp C,at comp Co,at comp Cr,at comp Mn,at comp N,at comp Ni,at comp Si,dG,precip check,sigma,tau,vf,InterfaceE_chem
BCC_A2,922.15,7.295894835353156e-06,7.666350990082346e-05,0.1026155497261077,0.008045391770607,0.0003708707132683,4.112804271364797e-07,0.0387055745262087,0.0001015186989517,,False,,,0.5199326254641534,
CEMENTITE_D011,922.15,6.051425452197899e-06,0.2499999373569272,0.0025673612790444,0.3021886045459936,0.0034971612080218,6.264307277909979e-08,0.0052364716090259,7.500000000000001e-13,-13053.0,True,0.18094,1.9826,0.0,0.14947
FCC_A1#2,922.15,5.298984562762703e-06,0.3125553090640933,5.232835844707637e-07,0.5015890815735704,6.56642487097623e-05,0.1857880049319041,1.416894246534645e-06,5.016566860040026e-13,-38621.0,True,0.82777,3.081,0.000190961825266,0.41856
FE4N_LP1,922.15,7.132274223927909e-06,0.1978005572057366,0.0003316623767019,0.0011800833398322,7.64523027619815e-06,0.0021994427942633,0.000956815163903,0.0,,True,,,0.0,0.08223
HCP_A3#2,922.15,6.03451964404994e-06,0.327222774423323,0.0022786393865102,0.6616217625320041,1.17180285788409e-06,0.0059904328062727,0.0004656561573,2.2005915977911322e-12,-19642.0,True,0.49622,7.066,0.0,0.03735
KSI_CARBIDE,922.15,7.13227422392791e-06,0.25,0.0,0.1767108473070534,0.0,0.0,0.0,0.0,-1718.7,True,0.17552,35.865,0.0,0.17274
M23C6_D84,922.15,6.20461796044989e-06,0.2068965517241379,0.002474360969827,0.3142847669400134,0.0052180554935098,0.0,0.0313071349355845,0.0,-10488.0,True,0.23331,3.3301,0.0,0.20664
M3C2_D510,922.15,7.132274223927909e-06,0.4,0.0001595703172152,0.5998404296827847,0.0,0.0,0.0,0.0,-27809.0,True,0.47537,3.4132,0.0,0.47505
M5C2,922.15,5.823357663930886e-06,0.2857142857142857,0.0,0.0,0.0079729999400818,0.0,0.0,0.0,-7993.9,True,0.18265,0.97461,0.0,0.18796
M7C3_D101,922.15,5.860947769197128e-06,0.3,0.0032678846027646,0.4702156386012021,0.0025942786413109,0.0,0.0024792742737996,7e-13,-18882.0,True,0.35846,3.5884,0.0231389456474086,0.31591
