phase,T,VM,at comp C,at comp Co,at comp Cr,at comp Mn,at comp N,at comp Ni,at comp Si,dG,precip check,sigma,tau,vf,InterfaceE_chem
BCC_A2,698.15,7.221410006869056e-06,2.572961527419637e-07,0.091752505427502,0.0029402483503339,0.0003909054215921,2.006502472750129e-10,0.0375386267678248,1.889643712689955e-06,,False,,,0.8202384459315781,
CEMENTITE_D011,698.15,6.031376337790025e-06,0.249999999978155,5.736654749529048e-05,0.5365256109994461,0.0100583055710204,2.1845059545758654e-11,0.0030228366704048,7.500000000000002e-13,-23733.0,True,0.22951,381980.0,0.0,0.14947
FCC_A1#2,698.15,5.263578470160132e-06,0.3537810762476178,7.112023404877779e-09,0.5027191822098435,0.0001137498618703,0.1433845460689492,1.4384986899471447e-06,5.02834377683433e-13,-65226.0,True,0.84662,217590.0,0.0,0.41856
FE4N_LP1,698.15,7.084506022062546e-06,0.199792689822093,0.0003903193539553,0.0034947211509242,6.159904772307993e-05,0.0002073101779069,0.0051828139541979,0.0,-2189.8,True,0.082343,3574800.0,0.0,0.08223
HCP_A3#2,698.15,5.976970760548375e-06,0.33254894008897,0.0001518082187007,0.6663809280958012,1.360236965493114e-07,0.0007475731488922,8.518920689794465e-05,6.667034867621377e-13,-35746.0,True,0.31566,270000.0,0.0,0.03735
KSI_CARBIDE,698.15,7.084506022062545e-06,0.25,0.0,0.1739946367963592,0.0,0.0,0.0,0.0,-8356.5,True,0.17146,685020.0,0.0,0.17274
M23C6_D84,698.15,6.24098397865541e-06,0.2068965517241379,8.414248674162686e-05,0.4862568942597924,0.0334672502443303,0.0,0.0266078674965351,0.0,-19145.0,True,0.28163,605220.0,0.0,0.20664
M3C2_D510,698.15,7.084506022062545e-06,0.4,4.848289892909714e-06,0.5999951517101071,0.0,0.0,0.0,0.0,-47189.0,True,0.47391,232750.0,0.0040386845795893,0.47505
M5C2,698.15,5.863683487491762e-06,0.2857142857142857,0.0,0.0,0.0510680912189682,0.0,0.0,0.0,-14230.0,True,0.17802,309100.0,0.0,0.18796
M7C3_D101,698.15,5.875228128995583e-06,0.3,0.0002866245206831,0.6635162739701936,0.0042643037188423,0.0,0.0005956163618939,7e-13,-32702.0,True,0.44539,443840.0,0.0240688806030078,0.31591
